Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
pubsum;176582;;"Final Report Summary - APPRAISAL (Air Pollution Policies foR Assesement of Integrated Strategies At regional and Local scales)";308395_PS;"Executive Summary:Air quality in Europe is still facing a continued wide-spread of exceedances, particularly regarding PM, NOx and O3. In case of non-compliance the 2008 Air Quality Directive requests Member States (MS) to design local and regional plans and assess their...";;FP7-ENVIRONMENT;;;;en;en;"2016-02-05 10:59:29";https://cordis.europa.eu/project/id/308395/reporting
resultsPack;430692;;"Agroecology: Transitioning toward sustainable, climate and ecosystem-friendly farming and food systems";430692-agroecology-transitioning-toward-sustainable-climate-and-ecosystem-friendly-farming-and-food;"Farming in Europe has been transformed over the last 70 years by policies, technologies and practices that sought to guarantee a stable supply of affordable food. But success has come at the cost of mounting environmental degradation. This CORDIS Results Pack highlights 11 EU-funded research projects that demonstrate the potential of more sustainable alternatives.";"Climate Change and Environment,Society,Food and Natural Resources";;;;;en;bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,lv,nl,pl,pt,sk,tr,no,sr;"2021-10-07 19:35:30";https://cordis.europa.eu/article/id/430692-agroecology-transitioning-toward-sustainable-climate-and-ecosystem-friendly-farming-and-food
project;197885;CORBEL;"Coordinated Research Infrastructures Building Enduring Life-science services";654248;"The social and economic challenges of ageing populations and chronic disease can only be met by translation of biomedical discoveries to new, innovative and cost effective treatments. The ESFRI Biological and Medical Research Infrastructures (BMS RI) underpin every step in...";;H2020-EU.1.4.1.1.,H2020-EU.1.4.;"/medical and health sciences/health sciences/social biomedical sciences;/social sciences/economics and business/economics/sustainable economy";2015-09-01;2020-05-31;en;en;"2022-08-17 23:58:25";https://cordis.europa.eu/project/id/654248
news;122637;;"Nanomaterial risk profiling puts safety first";122637-nanomaterial-risk-profiling-puts-safety-first;"With uncertainty around the risks of nanomaterials hampering the EU’s innovative potential, researchers are working on a safety concept to better monitor this emerging technology.";"Industrial Technologies";;;;;en;de,en,es,fr,it,pl;"2017-10-18 10:31:01";https://cordis.europa.eu/article/id/122637-nanomaterial-risk-profiling-puts-safety-first
news;442142;;"Lessons in managing the risk of floods and droughts";442142-lessons-in-managing-the-risk-of-floods-and-droughts;"Weather extremes are becoming more common. A recent study looks into the reasons why risk management is usually ineffective when dealing with a second more hazardous event, and takes home lessons from two success stories.";"Climate Change and Environment,Society";;;;;en;de,en,es,fr,it,pl;"2022-09-20 13:59:30";https://cordis.europa.eu/article/id/442142-lessons-in-managing-the-risk-of-floods-and-droughts
mag;400798;;"Coping with the forces beneath the Earth's crust";400798-coping-with-the-forces-beneath-the-earth-s-crust;;;;;;;en;de,en,es,fr,it,pl;"2017-03-01 00:00:01";https://cordis.europa.eu/article/id/400798-coping-with-the-forces-beneath-the-earth-s-crust
pubsum;143743;;"Final Report Summary - I-PROTECT (Intelligent PPE system for personnel in high risk and complex environments)";229275_PS;"This report presents results of research activities focused on the development of a new generation of intelligent personal protective systems dedicated for fire-fighters, mine rescuers and chemical rescuers. The systems address the needs and demands of these...";;FP7-NMP;;;;en;en;"2014-07-04 09:55:22";https://cordis.europa.eu/project/id/229275/reporting
pubsum;238024;;"Final Report Summary - MEMOLA (MEditerranean MOntainous LAndscapes: an historical approach to cultural heritage based on traditional agrosystems)";613265_238024_PS;"MEMOLA project (2014-2017) proposes an interdisciplinary approach to cultural landscapes of Mediterranean mountainous areas, taking as a central axis the historical study of two natural resources essential to generate agro-systems: water and soil. The study focuses on four...";;FP7-SSH;;;;en;en;"2018-07-25 15:32:28";https://cordis.europa.eu/project/id/613265/reporting
pubsum;56838;;"Final Report Summary - NANOCHANNELS (Engaging European stakeholders in debating Nanotechnology issues using a range of media channels";266946_PS;"Executive Summary:

Nanotechnology is rapidly becoming a pervasive technology embedded within many different industries and business sectors giving rise to new medicines, textiles, electronic devices, and enhancements in sports equipment, packaging, and many other consumer goo...";;FP7-NMP;;;;en;en;"2013-06-12 00:02:53";https://cordis.europa.eu/project/id/266946/reporting
news;116003;;"Science, research and innovation – what are our priorities?";116003-science-research-and-innovation-what-are-our-priorities;"Over half of those questioned in a recent EU survey say health and medical care should be the top priority for science and technological innovation.";;;;;;en;de,en,es,fr,it,pl;"2014-11-03 11:46:53";https://cordis.europa.eu/article/id/116003-science-research-and-innovation-what-are-our-priorities
story;88195;;"Feature Stories - Denmark engineers the path to recovery";88195-feature-stories-denmark-engineers-the-path-to-recovery;"Despite the difficulties of the economic crisis, Europe has shown its readiness to tackle the challenges ahead. Europe's scientists and research community will be on the frontline in coming up with innovations and technologies that will drive sustainable and inclusive growth in the future. This year  it will be up to Denmark, which took over the Presidency of the Council of the EU in January, to lead in laying the firm foundations for this positive outcome.";"Digital Economy";FP7-ICT;;;;en;de,en,es,fr,it,pl;"2012-03-08 11:00:02";https://cordis.europa.eu/article/id/88195-feature-stories-denmark-engineers-the-path-to-recovery
mag;400720;;"Results Supplement No. 004";400720-results-supplement-no-004;;;;;;;en;de,en,es,fr,it,pl;"2008-05-01 00:00:01";https://cordis.europa.eu/article/id/400720-results-supplement-no-004
programme;711;;"Information Society Technologies: thematic priority under the specific programme ""Integrating and strengthening the European research area"" (2002-2006).";FP6-IST;;;;;2002-09-03;2006-12-31;en;de,en,es,fr,it;"2014-03-05 10:00:00";https://cordis.europa.eu/programme/id/FP6-IST
news;411499;;"ATELIER Smart City project to turn Amsterdam and Bilbao into citizen-driven Positive Energy Districts";411499-atelier-smart-city-project-to-turn-amsterdam-and-bilbao-into-citizen-driven-positive-energy-d;"On 1 November 2019, the Smart City project ATELIER, funded by the European Commission under the H2020-LC-SC3-2018-2019-2020 call, is officially starting. Coordinated by the City of Amsterdam, ATELIER will focus on developing citizen-driven Positive Energy Districts in its two Lighthouse Cities Amsterdam and Bilbao, combining the expertise and the commitment of 30 partners from 11 countries.";"Transport and Mobility,Climate Change and Environment,Society,Energy,Health";;;;;en;en;"2019-11-06 10:34:29";https://cordis.europa.eu/article/id/411499-atelier-smart-city-project-to-turn-amsterdam-and-bilbao-into-citizen-driven-positive-energy-d
pubsum;177999;;"Final Report Summary - HDHL CSA (A Healthy Diet for a Healthy Life - Coordination Action)";277673_PS;"The overall objective of the Coordination and Support Act (CSA) is to support the development and implementation of the Joint Programming Initiative ‘A Healthy Diet for a Healthy Life’ (JPI HDHL). The CSA will coordinate the activities within the Joint...";;FP7-KBBE;;;;en;en;"2016-02-25 10:07:45";https://cordis.europa.eu/project/id/277673/reporting
